"資料年月","產業別","中型企業-企業授信金額產業別佔比"
201408,"01民生必需品製造業","6%"
201408,"02金屬製造業","7%"
201408,"03非金屬製造業","6%"
201408,"04紙印刷業","1%"
201408,"05器械業","8%"
201408,"06批發業","25%"
201408,"07零售業","4%"
201408,"08電子製造業","2%"
201408,"09服務業","9%"
201408,"10營建業","27%"
201408,"11投資業","5%"
201408,"12金融保險業","1%"
201408,"13其他","0%"
201409,"01民生必需品製造業","6%"
201409,"02金屬製造業","7%"
201409,"03非金屬製造業","6%"
201409,"04紙印刷業","1%"
201409,"05器械業","8%"
201409,"06批發業","25%"
201409,"07零售業","4%"
201409,"08電子製造業","2%"
201409,"09服務業","9%"
201409,"10營建業","27%"
201409,"11投資業","4%"
201409,"12金融保險業","1%"
201409,"13其他","0%"
201410,"01民生必需品製造業","6%"
201410,"02金屬製造業","7%"
201410,"03非金屬製造業","6%"
201410,"04紙印刷業","1%"
201410,"05器械業","8%"
201410,"06批發業","25%"
201410,"07零售業","4%"
201410,"08電子製造業","2%"
201410,"09服務業","9%"
201410,"10營建業","27%"
201410,"11投資業","4%"
201410,"12金融保險業","1%"
201410,"13其他","0%"
201411,"01民生必需品製造業","6%"
201411,"02金屬製造業","7%"
201411,"03非金屬製造業","6%"
201411,"04紙印刷業","1%"
201411,"05器械業","8%"
201411,"06批發業","25%"
201411,"07零售業","4%"
201411,"08電子製造業","2%"
201411,"09服務業","9%"
201411,"10營建業","27%"
201411,"11投資業","4%"
201411,"12金融保險業","1%"
201411,"13其他","0%"
201412,"01民生必需品製造業","6%"
201412,"02金屬製造業","7%"
201412,"03非金屬製造業","6%"
201412,"04紙印刷業","1%"
201412,"05器械業","8%"
201412,"06批發業","24%"
201412,"07零售業","4%"
201412,"08電子製造業","2%"
201412,"09服務業","9%"
201412,"10營建業","28%"
201412,"11投資業","4%"
201412,"12金融保險業","1%"
201412,"13其他","0%"
201501,"01民生必需品製造業","6%"
201501,"02金屬製造業","7%"
201501,"03非金屬製造業","6%"
201501,"04紙印刷業","1%"
201501,"05器械業","8%"
201501,"06批發業","25%"
201501,"07零售業","4%"
201501,"08電子製造業","2%"
201501,"09服務業","9%"
201501,"10營建業","28%"
201501,"11投資業","4%"
201501,"12金融保險業","1%"
201501,"13其他","0%"
201502,"01民生必需品製造業","6%"
201502,"02金屬製造業","7%"
201502,"03非金屬製造業","6%"
201502,"04紙印刷業","1%"
201502,"05器械業","8%"
201502,"06批發業","25%"
201502,"07零售業","4%"
201502,"08電子製造業","2%"
201502,"09服務業","9%"
201502,"10營建業","28%"
201502,"11投資業","4%"
201502,"12金融保險業","1%"
201502,"13其他","0%"
201503,"01民生必需品製造業","6%"
201503,"02金屬製造業","7%"
201503,"03非金屬製造業","6%"
201503,"04紙印刷業","1%"
201503,"05器械業","8%"
201503,"06批發業","24%"
201503,"07零售業","4%"
201503,"08電子製造業","2%"
201503,"09服務業","9%"
201503,"10營建業","28%"
201503,"11投資業","4%"
201503,"12金融保險業","1%"
201503,"13其他","0%"
201504,"01民生必需品製造業","6%"
201504,"02金屬製造業","7%"
201504,"03非金屬製造業","6%"
201504,"04紙印刷業","1%"
201504,"05器械業","8%"
201504,"06批發業","24%"
201504,"07零售業","4%"
201504,"08電子製造業","2%"
201504,"09服務業","9%"
201504,"10營建業","28%"
201504,"11投資業","4%"
201504,"12金融保險業","1%"
201504,"13其他","0%"
201505,"01民生必需品製造業","6%"
201505,"02金屬製造業","7%"
201505,"03非金屬製造業","6%"
201505,"04紙印刷業","1%"
201505,"05器械業","8%"
201505,"06批發業","24%"
201505,"07零售業","4%"
201505,"08電子製造業","2%"
201505,"09服務業","9%"
201505,"10營建業","28%"
201505,"11投資業","4%"
201505,"12金融保險業","1%"
201505,"13其他","0%"
201506,"01民生必需品製造業","6%"
201506,"02金屬製造業","7%"
201506,"03非金屬製造業","6%"
201506,"04紙印刷業","1%"
201506,"05器械業","8%"
201506,"06批發業","24%"
201506,"07零售業","4%"
201506,"08電子製造業","2%"
201506,"09服務業","9%"
201506,"10營建業","28%"
201506,"11投資業","4%"
201506,"12金融保險業","1%"
201506,"13其他","0%"
201507,"01民生必需品製造業","6%"
201507,"02金屬製造業","7%"
