"年月","產業別","企業產業貸款總家數","企業產業貸款總金額[仟元]","企業產業貸款平均金額[仟元]"
201205,"01民生必需品製造業",6710,528201133,78718.50
201205,"02金屬製造業",7986,745221710,93316.02
201205,"03非金屬製造業",6548,1897008931,289708.14
201205,"04紙印刷業",2091,100503656,48064.88
201205,"05器械業",10073,610349995,60592.67
201205,"06批發業",36563,961577803,26299.20
201205,"07零售業",7688,326673653,42491.37
201205,"08電子製造業",3694,1876580724,508007.78
201205,"09服務業",16079,3082460335,191707.22
201205,"10營建業",15773,1850186387,117300.86
201205,"11投資業",1311,446640371,340686.78
201205,"12金融保險業",725,340990964,470332.36
201205,"13其他",186,200111373,1075867.60
201206,"01民生必需品製造業",6677,542314980,81221.35
201206,"02金屬製造業",8067,740482655,91791.58
201206,"03非金屬製造業",6591,1886907096,286285.40
201206,"04紙印刷業",2120,87576805,41309.81
201206,"05器械業",10065,608595816,60466.55
201206,"06批發業",36632,953979643,26042.25
201206,"07零售業",7422,331207813,44625.14
201206,"08電子製造業",3664,1773591308,484058.76
201206,"09服務業",16057,2890243375,179998.96
201206,"10營建業",16176,1924913066,118998.09
201206,"11投資業",1543,503683845,326431.53
201206,"12金融保險業",566,326648097,577116.78
201206,"13其他",187,196720984,1051983.87
201207,"01民生必需品製造業",6670,527942446,79151.79
201207,"02金屬製造業",8027,739029985,92068.02
201207,"03非金屬製造業",6589,1879795066,285292.92
201207,"04紙印刷業",2107,86492629,41050.13
201207,"05器械業",10064,604621783,60077.68
201207,"06批發業",36676,968756859,26413.92
201207,"07零售業",7415,325877702,43948.44
201207,"08電子製造業",3654,1779992381,487135.30
201207,"09服務業",16098,2964867928,184176.17
201207,"10營建業",16262,1941198754,119370.23
201207,"11投資業",1532,500742081,326855.14
201207,"12金融保險業",570,306011375,536862.06
201207,"13其他",184,196181950,1066206.25
201208,"01民生必需品製造業",6678,520098721,77882.41
201208,"02金屬製造業",8041,733088286,91168.80
201208,"03非金屬製造業",6593,1915704907,290566.50
201208,"04紙印刷業",2109,87308883,41398.24
201208,"05器械業",10053,607139972,60393.91
201208,"06批發業",36706,981384533,26736.35
201208,"07零售業",7455,327050074,43869.90
201208,"08電子製造業",3651,1786920465,489433.16
201208,"09服務業",16199,2937345158,181328.80
201208,"10營建業",16354,1951836841,119349.20
201208,"11投資業",1523,495884442,325597.14
201208,"12金融保險業",567,280909936,495431.99
201208,"13其他",188,182757118,972112.33
201209,"01民生必需品製造業",6692,544121139,81309.20
201209,"02金屬製造業",8071,727236514,90104.88
201209,"03非金屬製造業",6590,1901286179,288510.80
201209,"04紙印刷業",2116,87688876,41440.87
201209,"05器械業",10068,611658323,60752.71
201209,"06批發業",36777,979339598,26629.13
201209,"07零售業",7501,340409359,45381.86
201209,"08電子製造業",3658,1766272918,482852.08
201209,"09服務業",16339,2930864486,179378.45
201209,"10營建業",16395,1958740618,119471.83
201209,"11投資業",1528,498278972,326098.80
201209,"12金融保險業",572,292643122,511613.85
201209,"13其他",185,182231331,985034.22
201210,"01民生必需品製造業",6721,544031614,80945.04
201210,"02金屬製造業",8089,730235650,90275.15
201210,"03非金屬製造業",6598,1874065918,284035.45
201210,"04紙印刷業",2116,88102260,41636.23
201210,"05器械業",10080,614974570,61009.38
201210,"06批發業",36864,983072433,26667.55
201210,"07零售業",7485,334446475,44682.23
201210,"08電子製造業",3654,1801804941,493104.80
201210,"09服務業",16443,2946298712,179182.55
201210,"10營建業",16475,1980265255,120198.19
201210,"11投資業",1529,499251117,326521.33
201210,"12金融保險業",575,278076914,483612.02
201210,"13其他",187,181543464,970820.66
201211,"01民生必需品製造業",6728,525940069,78171.83
201211,"02金屬製造業",8126,729286049,89747.24
201211,"03非金屬製造業",6608,1873894998,283579.75
201211,"04紙印刷業",2108,88268755,41873.22
201211,"05器械業",10102,616409502,61018.56
201211,"06批發業",36979,990643236,26789.35
201211,"07零售業",7492,338611932,45196.47
201211,"08電子製造業",3650,1747604130,478795.65
201211,"09服務業",16556,2869978654,173349.76
201211,"10營建業",16581,2008782677,121149.67
201211,"11投資業",1540,506250279,328733.95
201211,"12金融保險業",589,277677093,471438.19
201211,"13其他",191,182199273,953922.90
201212,"01民生必需品製造業",6836,545737735,79832.90
201212,"02金屬製造業",8203,734319134,89518.36
201212,"03非金屬製造業",6690,1877885815,280700.42
201212,"04紙印刷業",2121,89362275,42132.14
201212,"05器械業",10178,623354423,61245.28
201212,"06批發業",37410,994196680,26575.69
201212,"07零售業",7584,333485379,43972.23
201212,"08電子製造業",3684,1719843684,466841.39
201212,"09服務業",16762,3004360249,179236.38
201212,"10營建業",16799,2032238545,120973.78
201212,"11投資業",1594,515075515,323133.95
201212,"12金融保險業",599,296249411,494573.31
201212,"13其他",186,177653432,955125.98
201301,"01民生必需品製造業",6713,507929353,75663.54
201301,"02金屬製造業",8289,715023965,86261.79
201301,"03非金屬製造業",6657,1854615261,278596.25
201301,"04紙印刷業",2135,88482703,41443.89
201301,"05器械業",10054,636023897,63260.78
201301,"06批發業",37120,1002340971,27002.72
201301,"07零售業",7461,345494083,46306.67
201301,"08電子製造業",3645,1672973616,458977.67
201301,"09服務業",16728,3185676468,190439.77
201301,"10營建業",16989,2000121866,117730.41
201301,"11投資業",1597,515883323,323032.76
201301,"12金融保險業",574,260093856,453125.18
201301,"13其他",176,171945496,976963.05
201302,"01民生必需品製造業",6715,511056382,76106.68
201302,"02金屬製造業",8282,716109684,86465.79
201302,"03非金屬製造業",6634,1887877359,284576.03
201302,"04紙印刷業",2136,89974846,42123.06
201302,"05器械業",10068,639543645,63522.41
201302,"06批發業",37127,1001159586,26965.81
201302,"07零售業",7466,346721980,46440.13
201302,"08電子製造業",3634,1682282616,462928.62
201302,"09服務業",16792,3214565918,191434.37
201302,"10營建業",17031,2011072042,118083.03
201302,"11投資業",1597,517293352,323915.69
201302,"12金融保險業",569,223217413,392297.74
201302,"13其他",176,172465033,979914.96
201303,"01民生必需品製造業",6711,507819230,75669.68
201303,"02金屬製造業",8313,724671510,87173.28
201303,"03非金屬製造業",6649,1867224334,280827.84
201303,"04紙印刷業",2137,90303918,42257.33
201303,"05器械業",10051,636357105,63312.82
201303,"06批發業",37270,996209319,26729.52
201303,"07零售業",7476,346248537,46314.68
201303,"08電子製造業",3614,1688477315,467204.57
201303,"09服務業",16830,3273990903,194533.03
201303,"10營建業",17154,2029528532,118312.26
201303,"11投資業",1613,520287551,322558.93
201303,"12金融保險業",568,226953024,399565.18
201303,"13其他",177,170256381,961900.46
201304,"01民生必需品製造業",6723,507229641,75446.92
201304,"02金屬製造業",8310,724528323,87187.52
201304,"03非金屬製造業",6633,1850935978,279049.60
201304,"04紙印刷業",2126,89951832,42310.36
201304,"05器械業",10092,635500224,62970.69
201304,"06批發業",37386,998246828,26701.09
201304,"07零售業",7480,343899235,45975.83
201304,"08電子製造業",3624,1654367749,456503.24
201304,"09服務業",16921,3223211964,190485.90
201304,"10營建業",17228,2043560481,118618.56
201304,"11投資業",1645,523131219,318012.90
201304,"12金融保險業",577,226895117,393232.44
201304,"13其他",189,170118879,900099.89
201305,"01民生必需品製造業",6735,510521205,75801.22
201305,"02金屬製造業",8333,729584165,87553.60
201305,"03非金屬製造業",6688,1846720343,276124.45
201305,"04紙印刷業",2125,91099620,42870.41
201305,"05器械業",10127,639030944,63101.70
201305,"06批發業",37590,1017411325,27066.01
201305,"07零售業",7474,345200566,46186.86
201305,"08電子製造業",3616,1632969960,451595.67
201305,"09服務業",16987,3072257867,180859.36
201305,"10營建業",17350,2063519483,118934.84
201305,"11投資業",1682,530114006,315168.85
201305,"12金融保險業",582,230819038,396596.29
201305,"13其他",194,167871528,865317.15
201306,"01民生必需品製造業",6748,513201088,76052.32
201306,"02金屬製造業",8344,729148988,87386.02
201306,"03非金屬製造業",6712,1890848129,281711.58
201306,"04紙印刷業",2127,92402232,43442.52
201306,"05器械業",10140,636121172,62733.84
201306,"06批發業",37829,1028275817,27182.21
201306,"07零售業",7529,349581143,46431.28
201306,"08電子製造業",3623,1635618656,451454.22
201306,"09服務業",17147,3053612290,178084.35
201306,"10營建業",17498,2087658852,119308.43
