"資料年月","產業別","上市櫃企業-企業授信金額產業別佔比"
201408,"01民生必需品製造業","4%"
201408,"02金屬製造業","6%"
201408,"03非金屬製造業","15%"
201408,"04紙印刷業","1%"
201408,"05器械業","7%"
201408,"06批發業","3%"
201408,"07零售業","2%"
201408,"08電子製造業","36%"
201408,"09服務業","10%"
201408,"10營建業","14%"
201408,"11投資業","1%"
201408,"12金融保險業","1%"
201409,"01民生必需品製造業","4%"
201409,"02金屬製造業","6%"
201409,"03非金屬製造業","15%"
201409,"04紙印刷業","1%"
201409,"05器械業","7%"
201409,"06批發業","3%"
201409,"07零售業","2%"
201409,"08電子製造業","34%"
201409,"09服務業","11%"
201409,"10營建業","14%"
201409,"11投資業","1%"
201409,"12金融保險業","1%"
201410,"01民生必需品製造業","4%"
201410,"02金屬製造業","6%"
201410,"03非金屬製造業","15%"
201410,"04紙印刷業","1%"
201410,"05器械業","7%"
201410,"06批發業","3%"
201410,"07零售業","2%"
201410,"08電子製造業","35%"
201410,"09服務業","11%"
201410,"10營建業","14%"
201410,"11投資業","1%"
201410,"12金融保險業","1%"
201411,"01民生必需品製造業","4%"
201411,"02金屬製造業","6%"
201411,"03非金屬製造業","15%"
201411,"04紙印刷業","1%"
201411,"05器械業","7%"
201411,"06批發業","4%"
201411,"07零售業","2%"
201411,"08電子製造業","35%"
201411,"09服務業","11%"
201411,"10營建業","14%"
201411,"11投資業","1%"
201411,"12金融保險業","1%"
201412,"01民生必需品製造業","5%"
201412,"02金屬製造業","6%"
201412,"03非金屬製造業","15%"
201412,"04紙印刷業","1%"
201412,"05器械業","7%"
201412,"06批發業","3%"
201412,"07零售業","2%"
201412,"08電子製造業","34%"
201412,"09服務業","12%"
201412,"10營建業","14%"
201412,"11投資業","1%"
201412,"12金融保險業","1%"
201501,"01民生必需品製造業","5%"
201501,"02金屬製造業","6%"
201501,"03非金屬製造業","14%"
201501,"04紙印刷業","1%"
201501,"05器械業","7%"
201501,"06批發業","3%"
201501,"07零售業","2%"
201501,"08電子製造業","35%"
201501,"09服務業","11%"
201501,"10營建業","14%"
201501,"11投資業","1%"
201501,"12金融保險業","1%"
201502,"01民生必需品製造業","5%"
201502,"02金屬製造業","6%"
201502,"03非金屬製造業","14%"
201502,"04紙印刷業","1%"
201502,"05器械業","7%"
201502,"06批發業","3%"
201502,"07零售業","2%"
201502,"08電子製造業","35%"
201502,"09服務業","11%"
201502,"10營建業","14%"
201502,"11投資業","1%"
201502,"12金融保險業","1%"
201503,"01民生必需品製造業","5%"
201503,"02金屬製造業","6%"
